speciesNameSCI	imageName	imageSourceUrl	PhotographerName	photographerUrl	license
Loxia curvirostra	Common Crossbill - Loxia curvirostra - Krossnefur	http://www.flickr.com/photos/omarrun/4431907967/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Pinicola enucleator	CAB00495a	http://www.flickr.com/photos/jroldenettel/5321779625/	Jerry Oldenettel	http://www.flickr.com/people/jroldenettel/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Calcarius lapponicus	Lapland Longspur - Calcarius lapponicus - Sportittlingur	http://www.flickr.com/photos/omarrun/5154503264/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Plectrophenax nivalis	Snow Bunting	http://www.flickr.com/photos/markkilner/4129236272/	Mark Kilner	http://www.flickr.com/people/markkilner/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Emberiza citrinella	Bruant jaune - Emberiza citrinella	http://www.flickr.com/photos/giuss95/3551022563/in/set-72157600354197608/	Luciano Giussani	http://www.flickr.com/people/giuss95/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Emberiza hortulana	Emberiza hortulana	http://www.flickr.com/photos/ressaure/4675041008/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Emberiza rustica	田鵐- 過境鳥/ 俗名田雀、花眉子	http://www.flickr.com/photos/hiyashi/4076148793/	Hiyashi Haka	http://www.flickr.com/people/hiyashi/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Emberiza pusilla	小鵐 Little Bunting	http://www.flickr.com/photos/dotcool/428098344/	PeiWen Chang	http://www.flickr.com/people/dotcool/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Emberiza schoeniclus	Bruant des roseaux - Emberiza schoeniclus Common Reed Bunting	http://www.flickr.com/photos/giuss95/4823675660/in/set-72157600354197608/	Luciano Giussani	http://www.flickr.com/people/giuss95/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Branta bernicla	Brent goose - Branta bernicla - Margæs	http://www.flickr.com/photos/omarrun/4451031163/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Netta rufina	Nette rousse - Netta rufina Red-crested Pochard	http://www.flickr.com/photos/giuss95/2088845849/in/set-72157600354197608/	Luciano Giussani	http://www.flickr.com/people/giuss95/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Somateria spectabilis	King Eider - Somateria spectabilis - Æðarkóngur	http://www.flickr.com/photos/omarrun/4746806663/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Polysticta stelleri	Steller´s Eider - Polysticta stelleri - Blikönd	http://www.flickr.com/photos/omarrun/4642493872/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Phalacrocorax carbo	Cormoran	http://www.flickr.com/photos/oric1/1856366376/	Oric1 / Jean-Luc	http://www.flickr.com/people/oric1/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Ciconia ciconia	Cigogne blanche (Ciconia Ciconia) White Stork	http://www.flickr.com/photos/giuss95/1411030893/in/set-72157600354197608/	Luciano Giussani	http://www.flickr.com/people/giuss95/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Calidris alba	Sanderling - Calidris alba - Sanderla	http://www.flickr.com/photos/omarrun/3926649128/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Calidris ferruginea	Curlew Sandpiper - Calidris ferruginea - Spóatíta	http://www.flickr.com/photos/omarrun/4971832972/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Rissa tridactyla	Black-legged Kittiwake - Rissa tridactyla - Rita	http://www.flickr.com/photos/omarrun/338320317/in/set-72157623747992632/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Phylloscopus inornatus	Yellow-browed Warbler - Phylloscopus inornatus - Hnoðrasöngvari	http://www.flickr.com/photos/omarrun/5078970586/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Falco peregrinus	Peregrine Falcon (Falco peregrinus) in Lewiston, ME	http://www.flickr.com/photos/daveinmaine/3427003917/	David Maher	http://www.flickr.com/people/daveinmaine/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Milvus migrans	Milà negre - Milano negro - Black Kite (Milvus migrans) 8	http://www.flickr.com/photos/fturmog/2257780995/	Ferran Turmo Gort	http://www.flickr.com/people/fturmog/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Milvus milvus	Milan royal ( Milvus milvus ) ( Red Kite )	http://www.flickr.com/photos/giuss95/3428504471/	Luciano Giussani	http://www.flickr.com/people/giuss95/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Circus pygargus	Montagu’s Harrier - Circus pygargus (male)	http://www.flickr.com/photos/tariquesani/4350219057/	Tarique Sani	http://www.flickr.com/people/tariquesani/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Aquila pomarina	DSC_0161.jpg	http://www.flickr.com/photos/stevegroom/4788020898/in/photostream/	Steve Groom	http://www.flickr.com/people/stevegroom/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Aquila chrysaetos	Aigle royal (Aquila chrysaetos)	http://www.flickr.com/photos/danielguip/142715364/	danielguip	http://www.flickr.com/people/danielguip/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Podiceps cristatus	Podiceps cristatus, potápka chochlatá, Great Crested Grebe	http://www.flickr.com/photos/jurecek/4508749548/in/set-72157594226352337/	Rudo Jureček	http://www.flickr.com/people/jurecek/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Aythya ferina	Aythya ferina, chochlačka sivá, Common Pochard	http://www.flickr.com/photos/jurecek/4508749524/in/set-72157594226352337/	Rudo Jureček	http://www.flickr.com/people/jurecek/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Buteo buteo	Buzzard	http://www.flickr.com/photos/ressaure/4741650643/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Gallinula chloropus	Gallinula chloropus, sliepočka vodná, Common Moorhen	http://www.flickr.com/photos/jurecek/3582969298/in/set-72157594226352337/	Rudo Jureček	http://www.flickr.com/people/jurecek/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Fulica atra	Fulica atra, lyska čierna, Eurasian Coot	http://www.flickr.com/photos/jurecek/2483552669/in/set-72157594226352337/	Rudo Jureček	http://www.flickr.com/people/jurecek/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Grus grus	Common Crane (Grus grus)	http://www.flickr.com/photos/7891209@N04/5072594062/	gynti_46	http://www.flickr.com/people/7891209@N04/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Vanellus vanellus	Lapwing	http://www.flickr.com/photos/ressaure/4737783291/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Calidris minuta	Little Stint	http://www.flickr.com/photos/oldbilluk/3984521481/	oldbilluk	http://www.flickr.com/people/oldbilluk/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Calidris maritima	Purple Sandpiper - Calidris maritima - Sendlingur	http://www.flickr.com/photos/omarrun/2893217092/	Ómar  Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Limicola falcinellus	Broad-billed Sandpiper, a juvenile on migration	http://commons.wikimedia.org/wiki/File:Limicola_falcinellus_1.jpg	Alastair Rae	http://www.flickr.com/photos/55663585@N00	http://creativecommons.org/licenses/by-sa/2.0/
Tringa glareola	Tringa glareola, kalužiak močiarny, Wood Sandpiper	http://www.flickr.com/photos/jurecek/3789550267/in/set-72157594226352337/	Rudo Jureček	http://www.flickr.com/people/jurecek/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Actitis hypoleucos	Actitis hypoleucos, kalužiačik malý, Common Sandpiper	http://www.flickr.com/photos/jurecek/2828014131/in/set-72157594226352337/	Rudo Jureček	http://www.flickr.com/people/jurecek/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Sterna hirundo	Sterna hirundo, rybár riečny, Common Tern	http://www.flickr.com/photos/jurecek/3786593696/in/set-72157594226352337/	Rudo Jureček	http://www.flickr.com/people/jurecek/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Chlidonias niger	Chlidonias niger, čorík čierny, Black Tern	http://www.flickr.com/photos/jurecek/3705499882/	Rudo Jureček	http://www.flickr.com/people/jurecek/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Streptopelia decaocto	Streptopelia decaocto, hrdlička záhradná, Eurasian Collared Dove	http://www.flickr.com/photos/jurecek/3303664749/in/set-72157594226352337/	Rudo Jureček	http://www.flickr.com/people/jurecek/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Bubo bubo	Eurasian Eagle-owl, Bubo bubo, Uhu	http://www.flickr.com/photos/dutch-tiger/5044161396/	Roland van Stokkom	http://www.flickr.com/people/dutch-tiger/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Aegolius funereus	juvenile Boreal Owl	http://www.flickr.com/photos/ornitholoco/2150988422/	Andy Jones	http://www.flickr.com/people/ornitholoco/	http://creativecommons.org/licenses/by-nc-sa/2.0/
