Laji	SCI	FI	SV	Luokka2015	Kriteerit	Elinymp-1	Elinymp-muut	Syyt	Uhat	Luokka2010	Muutossyy
Gallinula chloropus, liejukana, rörhöna	Gallinula chloropus	liejukana	rörhöna	VU	D1	Vsr	Vi	S	S	VU	
Glaucidium passerinum, varpuspöllö, sparvuggla	Glaucidium passerinum	varpuspöllö	sparvuggla	NT		M		Mv, Ml, Muu	Mv, Ml, Muu	LC	1
Haliaeetus albicilla, merikotka, havsörn	Haliaeetus albicilla	merikotka	havsörn	VU	D1	Vi	Vs, M	Kh, M, R, P, H	H, R, M, Mv, P	VU	
Hirundo rustica, haarapääsky, ladusvala	Hirundo rustica	haarapääsky	ladusvala	NT		Ir		U, Pm	U, Pm	LC	1
Iduna caligata, pikkukultarinta, stäppsångare	Hippolais caligata	pikkukultarinta	stäppsångare	VU	D1	Iv	In	S	S, N, Pm	VU	
Lagopus lagopus, riekko, dalripa	Lagopus lagopus	riekko	dalripa	VU	A2abc	Sr	Mk, Mt, Ts, Vi	O, I	O, I	NT	1
Lagopus muta, kiiruna, fjällripa	Lagopus muta	kiiruna	fjällripa	NT	A2ab	Tl		I,	I, P	LC	1
Larus fuscus, selkälokki, silltrut	Larus fuscus	selkälokki	silltrut	EN	A2ab	Vsk	Rj, Vi, Ri	H, P, Kil, Kh, Vie	Kh, H, P, Kil, P, U, Vie	VU	1
Larus marinus, merilokki, havstrut	Larus marinus	merilokki	havstrut	NT	A2ab	Vi	Ri, Sn, Vsk, Rj, Ir	Muu	Muu	LC	
Larus ridibundus, naurulokki, skrattmås	Larus ridibundus	naurulokki	skrattmås	VU	A2ab	Vi	Ri, Vsr, Rjn, Vsk, Sn, Va, Ij	H, Pm, P, Muu	Muu, H, Pm, Vie	NT	1
Limosa limosa, mustapyrstökuiri, rödspov	Limosa limosa	mustapyrstökuiri	rödspov	EN	D1	Rin	Iv, Rjn, Ik, Sn	S	N, H, Pm, S	EN	
Locustella luscinioides, ruokosirkkalintu, vassångare	Locustella luscinioides	ruokosirkkalintu	vassångare	EN	D1	Rjn	Rin	S	S	VU	4
Lophophanes cristatus, töyhtötiainen, tofsmes	Parus cristatus	töyhtötiainen	tofsmes	VU	A2ab	Mkk	Sr	Ml, Mv	ML, Mv	LC	1
Lullula arborea, kangaskiuru, trädlärka	Lullula arborea	kangaskiuru	trädlärka	VU	A1ab	K	Mkh, Mkk, Mkp, Io	N	S	LC	1
Melanitta fusca, pilkkasiipi, svärta	Melanitta fusca	pilkkasiipi	svärta	EN	A2abcd	Vi	Vsk	P, Kh, Vie	P, Kh, Vie, H, I	NT	1
Mergus merganser, isokoskelo, storskrake	Mergus merganser	isokoskelo	storskrake	VU	A2abc	Vsk	Vi	?	?, Kh, P, Vie	NT	1
Mergus serrator, tukkakoskelo, småskrake	Mergus serrator	tukkakoskelo	småskrake	EN	A2abc	Vsk	Vi	?	?, Kh, P, Vie	NT	1
Milvus migrans, haarahaukka, brunglada	Milvus migrans	haarahaukka	brunglada	CR	D1	Mk	Rjm	U, P	U, Mv	CR	
Motacilla cinerea, virtavästäräkki, forsärla	Motacilla cinerea	virtavästäräkki	forsärla	VU	D1	Vk	Vj, Vp	S	S	VU	
Motacilla citreola, sitruunavästäräkki, citronärla	Motacilla citreola	sitruunavästäräkki	citronärla	EN	D1	Rin	Rjn, Ik	N, S	N, S	VU	4
Motacilla flava, keltavästäräkki, gulärla	Motacilla flava	keltavästäräkki	gulärla	NT		Sn	Sr, Iv, Rjn, Rin, Ts, Ik, Ij, Mkk	U, Pm, O, N	U, O, N	VU	1
Numenius arquata, kuovi, storspov	Numenius arquata	kuovi	storspov	NT		Iv	Rjn, Rin, Sn, Sr, Ik	Pm, P	Pm, P	LC	1
Oenanthe oenanthe, kivitasku, stenskvätta	Oenanthe oenanthe	kivitasku	stenskvätta	NT		Iv	K, Tl, Ir, Ij, Rik, Rjk, Mt, Mkk	U, Pm	U, Pm	VU	1
Oriolus oriolus, kuhankeittäjä, sommargylling	Oriolus oriolus	kuhankeittäjä	sommargylling	EN	A2ab	Ml	Rim, Rjm	U	U	NT	1
Panurus biarmicus, viiksitimali, skäggmes	Panurus biarmicus	viiksitimali	skäggmes	VU	D1	Rin	Vsr, Rjn, Vi	S	S	NT	1
Passer domesticus, varpunen, gråsparv	Passer domesticus	varpunen	gråsparv	VU	A2ab	lr	lp	Pm, ?		LC	1
Perisoreus infaustus, kuukkeli, lavskrika	Perisoreus infaustus	kuukkeli	lavskrika	NT		Mk		M	Mv	NT	
Pernis apivorus, mehiläishaukka, bivråk	Pernis apivorus	mehiläishaukka	bivråk	EN	A2abcd	Mk	Ml	U, P, Pm	U, Pm	VU	1
Phalaropus lobatus, vesipääsky, smalnäbbad simsnäppa	Phalaropus lobatus	vesipääsky	smalnäbbad simsnäppa	VU	A2abc	Sn	Ts, Va, Ri	O, U, S	O, U, S, I	VU	
Phylloscopus borealis, lapinuunilintu, nordsångare	Phylloscopus borealis	lapinuunilintu	nordsångare	VU	A2a, D1	Ml	Mt, Mkt	U	U	NT	1
Plectrophenax nivalis, pulmunen, snösparv	Plectrophenax nivalis	pulmunen	snösparv	EN	A2ab	Tl	Tk	I	I	NT	1
Podiceps auritus, mustakurkku-uikku, svarthakedopping	Podiceps auritus	mustakurkku-uikku	svarthakedopping	EN	A2abc	Vsr	Vi	Kil, U, Kh	Kh, U, Kil	VU	1
Podiceps cristatus, silkkiuikku, skäggdopping	Podiceps cristatus	silkkiuikku	skäggdopping	NT		Vsr	Vi	Vr, Vie	muu	LC	1
Poecile montanus, hömötiainen, talltita	Parus montanus	hömötiainen	talltita	VU	A2ab	Mk		Ml, Mv	Ml, Mv	LC	1
Porzana parva, pikkuhuitti, mindre sumphöna	Porzana parva	pikkuhuitti	mindre sumphöna	EN	D1	Rjn	Vsr, Rin	Vr, S	Vr	VU	4
Pyrrhula pyrrhula, punatulkku, domherre	Pyrrhula pyrrhula	punatulkku	domherre	VU	A2ab	Mkt	Ml	?	?	LC	1
Remiz pendulinus, pussitiainen, pungmes	Remiz pendulinus	pussitiainen	pungmes	EN	D1	Rim	Rjm	S	S	VU	4
Riparia riparia, törmäpääsky, backsvala	Riparia riparia	törmäpääsky	backsvala	VU	A2ab	Io	Vj, Ris, Ij	U, N	U, N	VU	
Sitta europaea, pähkinänakkeli, nötväcka	Sitta europaea	pähkinänakkeli	nötväcka	VU	D1	lp	Ml	S	S	NA	5
Somateria mollissima, haahka, ejder	Somateria mollissima	haahka	ejder	VU	A2abcde	Vi		Vie, Kh, I, U	Vie, Kh, I, U, P	NT	1
Streptopelia decaocto, turkinkyyhky, turkduva	Streptopelia decaocto	turkinkyyhky	turkduva	EN	A2ab, C1, D1	Ip		S	S, Muu	VU	1
Streptopelia turtur, turturikyyhky, turturduva	Streptopelia turtur	turturikyyhky	turturduva	CR	A2abc, D1	Ml	Mk, Iv, Ip	U, P	U, P, Pm	CR	
Stercorarius longicaudus, tunturikihu, fjällabb	Stercorarius longicaudus	tunturikihu	fjällabb	NT		Tk		Muu	I	LC	1
Sternula albifrons, pikkutiira, småtärna	Sternula albifrons	pikkutiira	småtärna	EN	D1	Vi	Rih	H, R, Muu	H, U, S	EN	
Sylvia nisoria, kirjokerttu, höksångare	Sylvia nisoria	kirjokerttu	höksångare	VU	D1	In	Ih, Ip, Ml, Rin	U	U, N	EN	1
Tachybaptus ruficollis, pikku-uikku, smådopping	Tachybaptus ruficollis	pikku-uikku	smådopping	EN	D1	Vsr		S	S	VU	4
Tadorna tadorna, ristisorsa, gravand	Tadorna tadorna	ristisorsa	gravand	VU	D1	Vi	Rih, Rik	H, R	H, R	VU	
Tarsiger cyanurus, sinipyrstö, blåstjärt	Tarsiger cyanurus	sinipyrstö	blåstjärt	NT		Mkv		Mv, U	Mv, U	VU	1
Tringa erythropus, mustaviklo, svartsnäppa	Tringa erythropus	mustaviklo	svartsnäppa	NT		Sn	Mkk, Ts	M, O	M, O	LC	1
Tringa glareola, liro, grönbena	Tringa glareola	liro	grönbena	NT		Sn	Sr, Rjn, Ik			LC	1
Tringa stagnatilis, lampiviklo, dammsnäppa	Tringa stagnatilis	lampiviklo	dammsnäppa	VU	D1	Rjn	Rin	S	S	NA	5
Tringa totanus, punajalkaviklo, rödbena	Tringa totanus	punajalkaviklo	rödbena	VU	A2ab	Ri	Rjn, Ik, Sr, Sn, Ts	N	N, Vie	NT	1
Turdus torquatus, sepelrastas, ringtrast	Turdus torquatus	sepelrastas	ringtrast	EN	D1	Tl		S	S, I	VU	4
Uria aalge, etelänkiisla, sillgrissla	Uria aalge	etelänkiisla	sillgrissla	EN	D1	Vi	Rik	S	Kh, H, U, P, S, Vie	EN	
Xenus cinereus, rantakurvi, tereksnäppa	Xenus cinereus	rantakurvi	tereksnäppa	CR	D1	Ij	Ri	Ke, H, R, N	R, H, Kh, S, Vie	CR	
